#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-95.956907,100,40.204307
-79.962011,100,40.249947
-97.94313,100,40.293537
-89.674942,100,40.338804
-86.206628,100,40.382016
-78.21781,100,40.426329
-73.667046,100,40.470183
-83.537783,100,40.51307
-76.349065,100,41.062916
-75.421412,100,41.106301
-81.044537,100,41.151465
-78.540873,100,41.194762
-100.057272,100,41.239113
-73.617208,100,41.282413
-78.101721,100,41.325578
-81.030617,100,41.371
-81.347487,100,41.414004
-72.036988,100,41.459106
-80.082304,100,41.502426
-75.953504,100,41.547033
-82.798405,100,41.590539
-89.679209,100,41.633784
-76.903774,100,41.678685
-89.242857,100,41.721835
-83.350632,100,41.766617
-73.834492,100,41.809861
-98.821858,100,41.85492
-92.326076,100,41.901004
-102.169398,100,42.497512
-79.4824,100,42.541798
-83.551998,100,42.587431
-85.169276,100,42.631488
-94.606369,100,42.676936
-82.544138,100,42.720449
-72.678531,100,42.764705
-76.532391,100,42.80981
-99.293387,100,42.853311
-86.357089,100,42.898294
-73.211536,100,42.942094
-74.76344,100,42.987005
-80.131103,100,43.030897
-74.703011,100,43.074814
-74.181862,100,43.119767
-86.958603,100,43.163107
-75.302441,100,43.208411
-73.817376,100,43.251574
-85.503641,100,43.297533
-93.863412,100,43.340895
-78.063509,100,43.386519
-82.589063,100,43.959582
-87.694542,100,44.005029
-87.793742,100,44.049107
-84.730035,100,44.09235
-80.733594,100,44.13767
-75.467884,100,44.18086
-72.457123,100,44.22571
-86.914,100,44.269089
-77.111793,100,44.315078
-82.014899,100,44.358556
-77.217398,100,44.40412
-80.608099,100,44.447193
-84.928372,100,44.490278
-89.080867,100,44.535422
-67.604634,100,44.578821
-69.744075,100,44.624368
-79.246154,100,44.667849
-72.766332,100,44.713055
-80.98519,100,44.755809
-84.373896,100,44.798358
-74.569684,100,45.368237
-69.586748,100,45.414139
-76.141078,100,45.462138
-78.004432,100,45.507852
-73.002042,100,45.553942
-76.939584,100,45.596766
-73.201125,100,45.643692
-77.837231,100,45.687069
-77.143386,100,45.731145
-83.946762,100,45.775192
-75.545805,100,45.818169
-79.878275,100,45.863684
-75.431331,100,45.906547
-74.78548,100,45.953758
-74.109292,100,45.998368
-70.173888,100,46.049273
-73.542839,100,46.095418
-81.676443,100,46.144595
-65.653846,100,46.190494
-86.207921,100,46.239502
-75.560765,100,46.281944
