#{"t_start": 1733160959.42986, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
410.0,620,2017.32254
270.0,718,2021.498819
225.0,619,2025.133163
135.0,485,2027.977618
75.0,295,2029.70742
290.0,676,2033.714092
500.0,952,2039.283388
215.0,627,2042.940083
215.0,691,2047.012415
305.0,855,2051.998619
385.0,603,2055.580456
125.0,408,2057.993074
240.0,597,2061.489787
225.0,596,2064.932855
260.0,574,2068.314709
210.0,512,2071.338587
360.0,742,2075.680623
215.0,602,2079.264597
85.0,282,2080.958571
210.0,581,2084.394167
225.0,618,2088.070578
45.0,297,2089.812533
160.0,472,2092.617368
230.0,621,2096.30692
285.0,820,2101.156203
155.0,486,2104.0304
180.0,473,2106.822453
245.0,613,2110.48185
135.0,474,2113.310066
110.0,383,2115.550837
105.0,354,2117.672285
275.0,736,2122.018384
210.0,578,2125.446299
500.0,660,2129.39658
335.0,821,2134.264096
135.0,368,2136.425701
35.0,255,2137.9301
210.0,498,2140.902038
210.0,585,2144.356758
225.0,623,2148.017789
185.0,503,2150.979605
260.0,664,2154.877284
295.0,746,2159.276706
220.0,592,2162.762841
100.0,420,2165.229836
240.0,618,2168.804565
210.0,493,2171.76244
210.0,649,2175.538243
80.0,277,2177.163234
165.0,354,2179.262299
210.0,622,2182.934477
790.0,1035,2189.084774
210.0,501,2192.055104
100.0,288,2193.762796
225.0,618,2197.415291
210.0,613,2201.054351
210.0,508,2204.107488
80.0,288,2205.804699
80.0,275,2207.420939
80.0,279,2209.087555
210.0,507,2212.05811
105.0,286,2213.786583
330.0,790,2218.484762
95.0,389,2220.801772
225.0,634,2224.558612
365.0,663,2228.46527
210.0,631,2232.25722
150.0,387,2234.54816
110.0,434,2237.128466
215.0,570,2240.481174
65.0,287,2242.202622
135.0,372,2244.447546
330.0,764,2248.986811
240.0,510,2252.036763
240.0,623,2255.726936
155.0,427,2258.295681
210.0,591,2261.815282
255.0,699,2265.999377
60.0,281,2267.673583
210.0,538,2270.811002
260.0,622,2274.542304
180.0,390,2276.85996
290.0,692,2280.98786
260.0,693,2285.143278
80.0,264,2286.730849
150.0,367,2288.874524
290.0,590,2292.39178
535.0,598,2295.940158
215.0,640,2299.702191
290.0,797,2304.470205
100.0,380,2306.777941
155.0,374,2309.004597
210.0,484,2311.949978
210.0,540,2315.131688
310.0,696,2319.292697
250.0,624,2323.027035
100.0,278,2324.713994
210.0,529,2327.88177
225.0,630,2331.628137
240.0,610,2335.260682
215.0,645,2339.126791
180.0,536,2342.345384
285.0,622,2346.130741
210.0,390,2348.477601
155.0,398,2350.837356
